,planet_name,star_name,M_p
0,GJ 9827 c,,1.919611520428667
1,K2-138 f, 2MASS 23154776-1050590,1.589082384460817
2,K2-229 b,2MASS 12272958-0643188,2.5902042866711312
3,K2-266 c,2MASS 10314450+0056152,0.2892129939718687
4,K2-3 c, 2MASS 11292037-0127173,2.1389048894842597
5,K2-3 d, 2MASS 11292037-0127173,2.7999631614199596
6,K2-32 e, 2MASS 16494226-1932340,2.0975887474882784
7,KOI-2700 b,,0.8612826523777628
8,KOI-55 b, 2MASS 19452546+4105339,0.4449430676490288
9,KOI-55 c, 2MASS 19452546+4105339,0.6674146014735431
10,Kepler-11 b,2MASS 19482762+4154328,1.9068988613529807
11,Kepler-11 c,2MASS 19482762+4154328,2.8603482920294705
12,Kepler-11 f,2MASS 19482762+4154328,1.9068988613529807
13,Kepler-114 c,2MASS 19362914+4820582,2.8603482920294705
14,Kepler-128 b,2MASS 18495813+4358487,0.7691158740790354
15,Kepler-128 c,2MASS 18495813+4358487,0.8994206296048224
16,Kepler-138 c, 2MASS 19213157+4317347,1.970462156731413
17,Kepler-138 d, 2MASS 19213157+4317347,0.6388111185532485
18,Kepler-167 d,2MASS 19303802+3820434,1.9068988613529807
19,Kepler-406 c, 2MASS 19272353+4458056,2.8603482920294705
20,Kepler-51 b,2MASS 19455514+4956156,2.224715338245144
21,Kepler-68 c,2MASS 19240775+4902249,2.0403817816476892
22,Kepler-78 b,2MASS 19345800+4426539,1.9672839919624916
23,OGLE-2019-BLG-1053L b,,2.4789685197588747
24,TOI-1064 c,,2.5107501674480908
25,TOI-178 b,,1.5000937709310114
26,TOI-1860 b,,2.1929336905559276
27,TOI-500 b,,1.589082384460817
28,TOI-561 b,,1.589082384460817
29,TOI-833 b,,1.9068988613529807
